
Old Testament 1		      Old Testament 2		       New Testamemt
Neh. 4                   Haggai 1                Rev. 9
Neh. 5                   Haggai 2                Rev. 10
Neh. 6                   Zech. 1                 Rev. 11
Neh. 7                   Zech. 2, 3              Rev. 12
Neh. 8                   Zech. 4                 Rev. 13
Neh. 9                   Zech. 5, 6              Rev. 14
Neh. 10, 11              Zech. 7                 Rev. 15
Neh. 12                  Zech. 8                 Rev. 16
Neh. 13                  Zech. 9, 10             Rev. 17
Esther 1                 Zech. 11                Rev. 18
Esther 2                 Zech. 12:1 to 13:6      Rev. 19:1-10
Esther 3, 4              Zech. 13:7 to 14:21     Rev. 19:11 to 20:6
Esther 5, 6              Malachi 1:1 to 2:9      Rev. 20:7 to 21:8
Esther 7, 8              Malachi 2:10 to 3:6     Rev. 21:9 to 22:5
Esther 9, 10             Malachi 3:7 to 4:6      Rev. 22:6-21
